year,GEOID10,statefp,state_place,tract,state,county,POP,NHWHITE,NHBLACK,NATIVE,ASIAN,HISPANIC,NONWHITE,NHWHITE_PR,NHBLACK_PR,NATIVE_PR,ASIAN_PR,HISPANIC_PR,OTHER_PR,entropy,divergence
2000-01-31,06075011300,06,0667000,Census Tract 113,CA,San Francisco County,3264,424,48,9,2703,69,2829,0.12990196078431374,0.014705882352941176,0.0027573529411764708,0.828125,0.021139705882352942,0.00337009803921573,0.5811331869732967,1.4133976170510856
2000-01-31,06075011200,06,0667000,Census Tract 112,CA,San Francisco County,3700,2108,54,17,1397,102,1570,0.5697297297297297,0.014594594594594595,0.0045945945945945945,0.37756756756756754,0.027567567567567567,0.005945945945945996,0.8737023537846862,0.5221309810317728
2000-01-31,06075011100,06,0667000,Census Tract 111,CA,San Francisco County,5559,2679,146,44,2323,327,2840,0.4819212088505127,0.02626371649577262,0.007915092642561612,0.4178809138334233,0.058823529411764705,0.007195538765965015,1.0169650920574398,0.4742201044687819
2000-01-31,06075011000,06,0667000,Census Tract 110,CA,San Francisco County,5037.266357,1925.778745,80.13392012,22.04769758,2849.867544,141.3577318,3093.4068935000005,0.38230631626692835,0.01590821577434405,0.004376917164477828,0.5657567700464563,0.028062389753038028,0.003589390994755526,0.8797736809096792,0.772534690521543
2000-01-31,06075010900,06,0667000,Census Tract 109,CA,San Francisco County,4497.73369,3144.221191,72.86608124,25.95230293,1016.132446,194.6422729,1309.59310307,0.6990678878988943,0.016200621526793864,0.0057700843844313955,0.22592098955507522,0.043275633088894594,0.009764783545910594,0.8187729919171713,0.38435532496595204
2000-01-31,06075010800,06,0667000,Census Tract 108,CA,San Francisco County,5130,2018,56,32,2865,132,3085,0.39337231968810915,0.01091617933723197,0.0062378167641325534,0.5584795321637427,0.025730994152046785,0.0052631578947367474,0.8675121152335112,0.7770803119933505
2000-01-31,06075010700,06,0667000,Census Tract 107,CA,San Francisco County,5634,744,72,22,4638,136,4868,0.13205537806176784,0.012779552715654952,0.0039048633297834577,0.8232161874334398,0.024139155129570464,0.003904863329783459,0.5947606453811628,1.3981897435125217
2000-01-31,06075980501,06,0667000,Census Tract 9805.01,CA,San Francisco County,412,16,68,0,229,89,386,0.038834951456310676,0.1650485436893204,0,0.5558252427184466,0.21601941747572814,0.024271844660194164,1.0809525903170303,0.7410689645840313
2000-01-31,06075980200,06,0667000,Census Tract 9802,CA,San Francisco County,231,148,21,5,37,19,82,0.6406926406926406,0.09090909090909091,0.021645021645021644,0.16017316017316016,0.08225108225108226,0.0043290043290042934,1.0850138215435603,0.18967402656860155
2000-01-31,06075012302,06,0667000,Census Tract 123.02,CA,San Francisco County,3070.00008,1228,343.3650513,38.59146118,1021.684143,401.7469788,1805.3876342800002,0.39999998957654753,0.11184529066852664,0.012570508200117052,0.3327961291128045,0.13086220466808587,0.011925877773918403,1.298815936592138,0.20293168789684674
2000-01-31,06075012301,06,0667000,Census Tract 123.01,CA,San Francisco County,3134.99992,1254,350.6349487,39.40853882,1043.315796,410.2530212,1843.61230472,0.4000000102073368,0.11184528154629107,0.012570507121416448,0.33279611566943834,0.13086221105868479,0.01192587439683257,1.2988159256197607,0.20293167463677503
2000-01-31,06075980401,06,0667000,Census Tract 9804.01,CA,San Francisco County,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-31,06075010500,06,0667000,Census Tract 105,CA,San Francisco County,2217,1670,45,9,405,71,530,0.7532701849345963,0.02029769959404601,0.0040595399188092015,0.18267929634641408,0.032025259359494816,0.007668019846639451,0.735650122885014,0.39993949003660584
2000-01-31,06075010400,06,0667000,Census Tract 104,CA,San Francisco County,4859,3054,39,17,1564,166,1786,0.6285243877341017,0.008026342868903066,0.003498662276188516,0.3218769294093435,0.034163408108664334,0.003910269602798833,0.8306193522191757,0.4848580165978678
2000-01-31,06075010300,06,0667000,Census Tract 103,CA,San Francisco County,4092,2375,33,22,1496,140,1691,0.5804007820136853,0.008064516129032258,0.005376344086021506,0.3655913978494624,0.03421309872922776,0.006353861192570864,0.8660743473178034,0.5153091071376216
2000-01-31,06075010200,06,0667000,Census Tract 102,CA,San Francisco County,4288,3587,43,8,454,162,667,0.8365205223880597,0.010027985074626865,0.0018656716417910447,0.10587686567164178,0.037779850746268655,0.007929104477611859,0.5687093698848498,0.4474753320490436
2000-01-31,06075010100,06,0667000,Census Tract 101,CA,San Francisco County,2879,1657,166,8,796,209,1179,0.5755470649531087,0.05765890934352206,0.0027787426189649182,0.27648489058700937,0.0725946509204585,0.014935741576936445,1.0446745604400545,0.2573375069439908
2000-01-31,06075980300,06,0667000,Census Tract 9803,CA,San Francisco County,137,91,10,0,9,26,45,0.6642335766423357,0.072992700729927,0,0.06569343065693431,0.1897810218978102,0.007299270072992692,0.9570642971172749,0.12936046345119795
2000-01-31,06075061400,06,0667000,Census Tract 614,CA,San Francisco County,5174,2257.584515,1537.285351,56.13595057,624.7190113,652.0527081,2870.19302097,0.43633253092385005,0.2971173851952068,0.010849623225744105,0.12074198131039815,0.1260248759373792,0.008933603407421664,1.2878351088199662,0.06742036379107495
2000-01-31,06075061500,06,0667000,Census Tract 615.00,CA,San Francisco County,5965.219654,3794.519307,560.6227887,51.31016046,1046.86811,410.6245812,2069.42564036,0.63610722271653,0.09398191872516752,0.008601554248818612,0.17549531630373721,0.06883645616044569,0.01697753184530104,1.0405041449855998,0.17785980978426735
2000-01-31,06075061200,06,0667000,Census Tract 612,CA,San Francisco County,3561,197,1753,22,680,894,3349,0.05532153889356922,0.492277450154451,0.006178039876439202,0.19095759618084807,0.2510530749789385,0.004212299915754114,1.2035902427239493,0.4523241831921878
2000-01-31,06075061100,06,0667000,Census Tract 611,CA,San Francisco County,3934,198,70,19,3568,71,3728,0.05033045246568378,0.017793594306049824,0.004829689883070666,0.9069649211997967,0.018047788510421964,0.0020335536349770367,0.4089140608687033,1.7038070578142896
2000-01-31,06075047802,06,0667000,Census Tract 478.02,CA,San Francisco County,3614.000102,1527.37561,63.11853409,13.45909882,1827.652832,149.9065094,2054.13697431,0.42262743964914257,0.017465006172819417,0.0037241556281505605,0.5057146597723035,0.04147938715249101,0.008989351625092956,0.9323114609980815,0.6397865413718166
2000-01-31,06075042602,06,0667000,Census Tract 426.02,CA,San Francisco County,3283.999944,1702.206665,55.64555359,18.24444389,1320.897705,161.9194489,1556.70715138,0.5183333416646367,0.016944444134862627,0.005555555481458924,0.4022222069197453,0.04930555775307893,0.007638894046217537,0.9532819087391904,0.49263044891245955
2000-01-31,06075042601,06,0667000,Census Tract 426.01,CA,San Francisco County,3915.999842,2029.793213,66.35443878,21.7555542,1575.102173,193.0805511,1856.29271708,0.5183333235180452,0.016944443681619535,0.005555555433548968,0.40222222588128487,0.04930555640711898,0.007638895078382446,0.9532819089677997,0.49263047210813204
2000-01-31,06075033203,06,0667000,Census Tract 332.03,CA,San Francisco County,3383.999905,1497.109863,232.6558228,12.12234783,1297.557373,257.3667603,1799.7023039300002,0.44240836437021114,0.06875172261566598,0.0035822541874450794,0.3834389507762117,0.07605400931593702,0.025764698734529135,1.1285276761807095,0.3233680105215776
2000-01-31,06075032901,06,0667000,Census Tract 329.01,CA,San Francisco County,4848.000148,1614.661621,37.85707474,17.20776176,2974.074951,178.3871307,3207.5269182,0.3330572548901663,0.007808802306992009,0.003549455700222887,0.6134642863463873,0.03679602418609497,0.005324176570136618,0.8453642957034043,0.8642787888879337
2000-01-31,06075032802,06,0667000,Census Tract 328.02,CA,San Francisco County,3776.000103,1328.227051,50.29026794,15.04008007,2191.621582,146.6407776,2403.59270761,0.3517550356910041,0.013318396866579747,0.003983071943788027,0.580408242112805,0.038834950635593245,0.01170030275022993,0.8889555626033092,0.7782226116801786
