Geo_FIPS,Geo_TRACT,occ_hu,hu_size1,hu_size2,hu_size3,hu_size4,hu_size5,hu_size6,hu_size7up,avg_hh_size
60750255003,25500,365,62,34,20,75,130,0,44,4.66
60750255004,25500,315,23,95,80,92,0,25,0,3.3
60750255005,25500,484,43,242,52,17,67,33,30,3.52
60750255006,25500,723,144,243,92,160,57,0,27,3.06
60750256001,25600,427,41,94,67,65,25,68,67,4.6
60750256002,25600,299,94,95,49,34,18,9,0,2.51
60750256003,25600,341,71,86,57,80,27,0,20,3.18
60750256004,25600,413,34,151,48,80,35,38,27,3.63
60750257011,25701,405,63,79,82,86,76,19,0,3.42
60750257012,25701,518,47,98,128,76,122,47,0,3.72
60750257013,25701,517,133,74,135,102,39,7,27,3.38
60750257021,25702,368,28,147,55,37,55,19,27,3.69
60750257022,25702,485,92,161,77,43,89,23,0,3.05
60750257023,25702,445,82,138,45,74,89,0,17,3.35
60750258001,25800,353,36,85,65,72,48,23,24,3.75
60750258002,25800,287,69,119,20,35,27,4,13,3.07
60750259001,25900,786,223,154,191,167,14,23,14,2.91
60750259002,25900,555,105,208,125,52,22,18,25,3.04
60750259003,25900,134,11,35,29,19,4,31,5,4.21
60750260011,26001,770,55,186,201,184,80,64,0,3.47
60750260012,26001,897,137,191,185,176,107,22,79,3.69
60750260021,26002,321,53,83,26,61,70,7,21,3.67
60750260022,26002,688,128,248,149,100,6,29,28,3.03
60750260031,26003,694,84,147,133,131,39,0,160,4.23
60750260032,26003,708,147,209,119,135,51,24,23,3.08
60750260041,26004,666,69,302,74,132,57,0,32,3.15
60750260042,26004,629,67,219,89,40,86,73,55,4.04
60750261001,26100,410,124,85,42,93,32,17,17,3.31
60750261002,26100,714,97,221,43,221,77,18,37,3.5
60750261003,26100,450,68,73,125,27,118,15,24,4.54
60750261004,26100,441,57,91,70,153,55,15,0,3.51
60750262001,26200,513,71,139,107,45,63,47,41,3.77
60750262002,26200,268,36,80,42,39,22,4,45,3.9
60750262003,26200,421,59,96,84,39,42,4,97,4.01
60750262004,26200,445,52,149,123,72,21,10,18,3.32
60750262005,26200,401,131,54,16,72,33,57,38,4.13
60750263011,26301,295,49,69,67,23,21,66,0,3.71
60750263012,26301,830,106,227,117,144,97,70,69,3.68
60750263013,26301,253,66,57,43,32,6,26,23,3.6
60750263021,26302,291,18,45,53,83,43,29,20,4.37
60750263022,26302,397,31,113,110,73,10,0,60,3.88
60750263023,26302,773,130,256,163,127,49,19,29,3.16
60750263031,26303,667,81,114,154,112,155,0,51,4.02
60750263032,26303,617,109,191,85,81,71,38,42,3.33
60750264011,26401,510,82,41,127,124,67,41,28,4.12
60750264012,26401,503,50,166,99,132,16,40,0,3.2
60750264021,26402,452,84,102,60,125,59,7,15,3.52
60750264022,26402,355,67,49,67,97,18,22,35,4.55
60750264023,26402,467,55,96,103,72,32,42,67,4.02
60750264031,26403,542,101,110,71,124,99,10,27,3.64
60750264032,26403,623,157,53,175,96,51,91,0,3.3
60750264041,26404,405,31,65,105,48,91,8,57,4.39
60750264042,26404,310,62,84,40,55,34,18,17,3.61
60750301011,30101,746,367,183,97,88,0,0,11,2.08
60750301012,30101,638,131,220,127,145,12,3,0,2.73
60750301013,30101,247,100,51,53,24,19,0,0,2.34
60750301014,30101,446,99,240,93,14,0,0,0,2.08
60750301021,30102,1226,520,423,111,139,33,0,0,2.01
60750301022,30102,678,272,221,57,111,10,7,0,2.1
60750301023,30102,412,161,137,67,47,0,0,0,2.05
60750302011,30201,876,266,330,217,57,0,0,6,2.24
60750302012,30201,452,134,212,69,11,12,0,14,2.39
60750302013,30201,599,135,261,120,57,10,0,16,2.47
60750302021,30202,813,254,463,31,65,0,0,0,1.97
60750302022,30202,830,313,326,109,80,0,0,2,2.04
60750302023,30202,498,196,157,49,65,31,0,0,2.22
60750303011,30301,344,102,123,56,42,0,21,0,2.48
60750303012,30301,857,324,185,146,119,40,43,0,2.6
60750303013,30301,706,252,201,152,88,13,0,0,2.21
60750303014,30301,425,59,132,142,76,16,0,0,2.82
60750303021,30302,477,161,131,86,51,14,26,8,2.6
60750303022,30302,469,109,131,66,97,22,0,44,3.23
60750303023,30302,494,85,118,130,126,22,0,13,3.23
60750304001,30400,408,87,195,43,83,0,0,0,2.34
60750304002,30400,424,47,228,31,81,13,24,0,2.81
60750304003,30400,560,94,205,76,127,23,26,9,3.02
60750304004,30400,311,31,141,31,86,22,0,0,2.96
60750304005,30400,294,77,95,39,52,21,0,10,2.79
60750305001,30500,338,56,182,52,28,14,0,6,2.48
60750305002,30500,360,60,135,47,93,13,0,12,2.85
60750305003,30500,316,178,50,38,30,20,0,0,1.99
60750306001,30600,303,61,96,37,58,46,5,0,2.95
60750306002,30600,301,52,120,65,57,7,0,0,2.54
60750306003,30600,295,58,59,92,64,15,7,0,2.81
60750307001,30700,1131,150,547,151,196,62,25,0,2.73
60750307002,30700,685,99,246,169,152,11,0,8,2.8
60750307003,30700,807,121,371,145,142,28,0,0,2.5
60750308001,30800,338,50,140,51,61,0,19,17,2.88
60750308002,30800,198,29,78,59,32,0,0,0,2.39
60750308003,30800,221,21,110,13,0,61,0,16,3.31
60750308004,30800,805,218,205,145,193,44,0,0,2.63
60750308005,30800,742,189,224,239,70,10,10,0,2.39
60750309001,30900,269,54,58,50,80,0,27,0,3.19
60750309002,30900,608,83,192,155,101,77,0,0,2.91
60750309003,30900,460,39,93,98,82,32,34,82,4.03
60750309004,30900,336,107,122,31,26,18,32,0,2.61
60750309005,30900,223,36,109,32,46,0,0,0,2.43
60750309006,30900,190,67,55,30,17,21,0,0,2.33
60750309007,30900,231,56,59,21,74,0,0,21,3.14
60750310001,31000,326,46,142,69,48,0,21,0,2.67
60750310002,31000,545,123,190,181,51,0,0,0,2.35
60750310003,31000,573,52,218,151,102,41,9,0,2.87
60750311001,31100,473,104,216,101,35,17,0,0,2.31
60750311002,31100,508,90,209,43,88,78,0,0,2.7
60750311003,31100,257,0,116,50,27,39,0,25,3.35
60750311004,31100,437,63,154,93,38,46,43,0,3.25
60750311005,31100,658,165,199,203,65,15,11,0,2.56
60750312011,31201,741,104,118,154,187,21,73,84,3.97
60750312012,31201,511,206,103,0,76,25,34,67,3.38
60750312013,31201,264,66,89,31,35,43,0,0,2.79
60750312014,31201,370,69,102,82,81,12,24,0,3.07
60750312021,31202,469,78,119,82,143,14,9,24,3.26
60750312022,31202,408,28,117,76,46,92,0,49,4.57
60750313011,31301,322,72,94,55,38,21,24,18,3.25
60750313012,31301,508,108,114,127,63,73,18,5,3.31
60750313013,31301,483,63,116,122,158,24,0,0,3.06
60750313021,31302,483,70,156,129,58,20,13,37,3.38
60750313022,31302,429,67,87,63,60,59,71,22,3.75
60750313023,31302,1005,323,304,145,124,32,21,56,2.85
60750314001,31400,257,55,62,64,61,15,0,0,2.82
60750314002,31400,424,75,125,110,33,13,0,68,3.66
60750314003,31400,389,31,121,50,61,24,28,74,4.18
60750314004,31400,400,26,117,72,82,11,37,55,4.29
60750314005,31400,410,79,102,80,47,62,17,23,3.3
60750326011,32601,648,141,197,198,77,20,15,0,2.64
60750326012,32601,593,81,237,107,48,69,11,40,3.42
60750326013,32601,548,145,164,122,61,45,6,5,2.68
60750326021,32602,692,171,164,185,120,19,12,21,2.83
60750326022,32602,510,134,205,71,82,12,6,0,2.43
60750326023,32602,576,151,164,145,77,20,0,19,2.64
60750327001,32700,249,29,36,90,40,54,0,0,3.32
60750327002,32700,484,94,237,65,51,37,0,0,2.56
60750327003,32700,416,76,148,73,58,41,0,20,3.03
60750327004,32700,283,46,146,37,31,0,0,23,3.03
60750327005,32700,370,25,91,173,81,0,0,0,2.97
60750327006,32700,377,88,154,37,48,50,0,0,2.57
60750327007,32700,270,98,115,0,30,0,27,0,2.37
60750328011,32801,516,97,191,104,64,60,0,0,2.74
60750328012,32801,613,188,153,157,82,13,0,20,2.58
60750328013,32801,438,85,151,90,30,64,18,0,2.89
60750328021,32802,530,129,155,129,92,11,14,0,2.63
60750328022,32802,592,111,127,233,76,37,0,8,2.89
60750328023,32802,441,64,142,106,87,23,7,12,3.01
60750329011,32901,453,123,100,27,159,22,13,9,2.93
60750329012,32901,422,45,99,104,67,70,23,14,3.61
60750329013,32901,421,84,116,80,62,30,33,16,3.06
60750329014,32901,453,79,177,42,23,76,37,19,3.19
60750329021,32902,462,87,210,49,42,25,49,0,2.83
60750329022,32902,463,95,127,78,120,0,15,28,3.27
60750329023,32902,474,83,97,118,57,85,22,12,3.42
60750330001,33000,492,120,235,49,66,22,0,0,2.36
60750330002,33000,346,119,64,68,67,28,0,0,2.65
60750330003,33000,552,52,175,163,114,29,19,0,3.08
60750330004,33000,401,65,117,85,69,65,0,0,3.08
60750330005,33000,557,146,196,48,110,0,15,42,2.94
60750330006,33000,441,72,122,131,42,74,0,0,3.13
60750331001,33100,250,103,86,34,7,19,0,1,2.09
60750331002,33100,355,55,132,71,66,12,0,19,2.9
60750331003,33100,259,54,77,70,27,8,13,10,2.79
60750331004,33100,551,146,124,92,117,60,12,0,2.89
60750332011,33201,645,135,238,159,31,82,0,0,2.85
60750332031,33203,1068,340,290,170,215,53,0,0,2.6
60750332032,33203,507,197,171,60,46,8,0,25,2.33
60750332041,33204,314,70,97,32,46,69,0,0,3.13
60750332042,33204,738,215,263,108,96,9,18,29,2.51
60750332043,33204,624,187,112,118,117,65,25,0,2.99
60750351001,35100,477,103,179,59,120,16,0,0,2.6
60750351002,35100,379,117,87,111,43,21,0,0,2.55
60750351003,35100,452,111,154,78,57,20,32,0,2.85
60750351004,35100,220,17,72,15,75,19,0,22,3.78
60750351005,35100,508,51,111,101,98,38,47,62,3.89
60750351006,35100,317,18,163,62,40,34,0,0,2.92
60750351007,35100,528,85,168,13,171,25,20,46,3.56
60750352011,35201,385,72,113,120,45,23,12,0,2.83
60750352012,35201,310,34,147,54,41,11,18,5,2.88
60750352013,35201,420,114,48,40,150,20,33,15,3.45
60750352014,35201,541,152,149,82,114,34,10,0,2.69
60750352015,35201,254,60,61,66,21,21,12,13,3.19
60750352021,35202,824,252,300,79,143,44,0,6,2.51
60750352022,35202,615,225,128,126,42,28,43,23,2.94
60750352023,35202,446,93,182,56,61,54,0,0,2.96
60750353001,35300,332,44,108,67,81,0,14,18,3.35
60750353002,35300,533,87,138,89,39,180,0,0,3.19
