Geo_FIPS,Geo_TRACT,TPOP,NATIVE,FOREIGN,NATURALIZED,NOT_CITIZEN,THH,ENGLISH_ONLY,TSPANISH,SPANISH_LEP,SPANISH_NLEP,TINDOEURO,INDOEURO_LEP,INDOEURO_NLEP,TAPI,API_LEP,API_NLEP,TOTHER,OTHER_LEP,OTHER_NLEP
6075012401,12401,4667,2587,2080,954,1126,2762,1424,510,346,164,234,121,113,525,215,310,69,14,55
6075012402,12402,4662,2972,1690,716,974,2859,1531,364,94,270,281,27,254,683,206,477,0,0,0
6075012501,12501,4293,1844,2449,1396,1053,2275,957,414,224,190,165,70,95,648,414,234,91,23,68
6075012502,12502,3674,2039,1635,1062,573,2256,1044,149,41,108,97,33,64,925,774,151,41,7,34
6075012601,12601,2516,2040,476,249,227,1485,1102,61,0,61,201,12,189,106,13,93,15,0,15
6075012602,12602,2844,2285,559,327,232,1557,1221,53,0,53,123,17,106,149,55,94,11,0,11
6075012700,12700,4092,3523,569,420,149,2253,1868,55,0,55,199,0,199,107,26,81,24,0,24
6075012800,12800,4556,3773,783,451,332,2250,1701,218,10,208,142,38,104,189,59,130,0,0,0
6075012901,12901,2783,2315,468,251,217,1567,1265,39,0,39,123,0,123,139,14,125,1,0,1
6075012902,12902,3865,3434,431,214,217,2078,1777,44,0,44,185,37,148,72,0,72,0,0,0
6075013000,13000,4719,4097,622,276,346,2393,2107,0,0,0,156,0,156,130,0,130,0,0,0
6075013101,13101,4061,3330,731,361,370,2385,1942,121,0,121,155,14,141,167,14,153,0,0,0
6075013102,13102,3012,2290,722,338,384,1536,1139,79,0,79,210,10,200,108,11,97,0,0,0
6075013200,13200,4292,3432,860,593,267,2199,1643,131,0,131,194,0,194,231,19,212,0,0,0
6075013300,13300,4634,3815,819,575,244,1969,1436,73,0,73,270,103,167,172,63,109,18,0,18
6075013400,13400,3742,3130,612,364,248,1850,1416,141,0,141,88,0,88,156,0,156,49,0,49
6075013500,13500,2606,1964,642,407,235,1542,1120,39,0,39,165,12,153,209,57,152,9,0,9
6075015100,15100,2624,1708,916,630,286,1662,979,49,9,40,172,15,157,446,73,373,16,0,16
6075015200,15200,4277,3448,829,606,223,2327,1643,138,52,86,103,35,68,394,105,289,49,0,49
6075015300,15300,2289,1894,395,224,171,976,736,99,0,99,53,6,47,88,9,79,0,0,0
6075015400,15400,5951,4786,1165,658,507,2836,2172,135,0,135,202,10,192,295,81,214,32,0,32
6075015500,15500,3551,2334,1217,928,289,2266,1232,154,19,135,76,35,41,804,595,209,0,0,0
6075015600,15600,3506,2510,996,567,429,1483,803,85,0,85,157,47,110,427,152,275,11,0,11
6075015700,15700,8904,7357,1547,765,782,2634,1950,207,0,207,176,0,176,301,93,208,0,0,0
6075015801,15801,3837,2829,1008,564,444,1740,1159,97,12,85,108,26,82,303,187,116,73,0,73
6075015802,15802,3412,2997,415,252,163,1630,1259,171,8,163,105,9,96,95,10,85,0,0,0
6075015900,15900,4832,2687,2145,919,1226,2231,1132,206,19,187,228,68,160,654,101,553,11,0,11
6075016000,16000,2562,1415,1147,520,627,1687,932,120,31,89,286,34,252,295,108,187,54,0,54
6075016100,16100,5340,2813,2527,1440,1087,2727,1264,126,87,39,514,284,230,647,385,262,176,44,132
6075016200,16200,3278,2441,837,406,431,1839,1335,41,10,31,204,38,166,247,38,209,12,0,12
6075016300,16300,4658,3832,826,403,423,2040,1552,127,0,127,119,0,119,188,41,147,54,20,34
6075016400,16400,4008,3487,521,265,256,1769,1430,151,0,151,122,0,122,58,0,58,8,0,8
6075016500,16500,5267,4192,1075,724,351,2225,1584,43,0,43,400,96,304,184,70,114,14,0,14
6075016600,16600,5691,4906,785,325,460,2439,2004,25,0,25,273,30,243,121,0,121,16,0,16
6075016700,16700,5376,4540,836,442,394,2373,1874,116,0,116,174,0,174,162,10,152,47,0,47
6075016801,16801,4145,3292,853,379,474,1950,1385,171,0,171,159,8,151,172,76,96,63,0,63
6075016802,16802,3622,2896,726,423,303,2054,1483,193,47,146,129,12,117,194,60,134,55,0,55
6075016900,16900,3254,2647,607,260,347,1657,1268,95,0,95,81,0,81,185,20,165,28,0,28
6075017000,17000,4287,3404,883,612,271,2183,1686,84,0,84,202,0,202,125,0,125,86,0,86
