Description,Incident #,Location,Agency,Date,,
PETTY THEFT,210823219,1000 BLK S 3RD ST,San Jose Police,3/23/2021 10:53,,
GRAND THEFT,210820314,500 BLK MARTHA ST,San Jose Police,3/23/2021 10:37,,
ASSAULT,210829502,STORY RD / MCLAUGHLIN AV,San Jose Police,3/23/2021 10:30,,
INDECENT EXPOSURE,210820300,2400 BLK ALVIN AV,San Jose Police,3/23/2021 10:24,,
VANDALISM,210820178,500 BLK S 9TH ST,San Jose Police,3/23/2021 8:16,,
AUTO THEFT,210820135,2000 BLK BAYHAVEN DR,San Jose Police,3/23/2021 7:16,,
AGG ASSAULT,210829801,2300 BLK LUCRETIA AV,San Jose Police,3/23/2021 6:18,,
VANDALISM,210820100,1100 BLK S 7TH ST,San Jose Police,3/23/2021 5:23,,
BURGLARY,210820070,2300 BLK STORY RD,San Jose Police,3/23/2021 3:08,,
PETTY THEFT,210820049,SAN FERNANDO / 10'TH,San Jose Police,3/23/2021 1:52,,
BURGLARY,210820044,15 BLK N 33RD ST,San Jose Police,3/23/2021 1:30,,
NARCOTICS,210820012,1600 BLK ALUM ROCK AV,San Jose Police,3/23/2021 0:09,,
AUTO THEFT,210811063,SANTA CLARA ST / S 11TH ST,San Jose Police,3/22/2021 23:39,,
NARCOTICS,210811056,MONTEREY RD/ SAN JOSE AV,San Jose Police,3/22/2021 23:27,,
ROBBERY,210811042,200 BLK PACKING PL,San Jose Police,3/22/2021 23:10,,
ASSAULT,210811031,FALL AV / OAKLEAF DR,San Jose Police,3/22/2021 22:50,,
WEAPONS,210810991,1600 BLK S. KING ROAD,San Jose Police,3/22/2021 21:56,,
FORGERY/FRAUD,210813239,900 BLK TOMLINSON LN,San Jose Police,3/22/2021 20:21,,
ASSAULT,210810877,2200 BLK MCLAUGHLIN AV,San Jose Police,3/22/2021 19:57,,
ASSAULT,210810717,OCALA AV / CATHAY DR,San Jose Police,3/22/2021 17:29,,
ASSAULT,210810688,1000 BLK STORY RD,San Jose Police,3/22/2021 17:08,,
AUTO THEFT,210810681,E SAN ANTONIO ST / S KING RD,San Jose Police,3/22/2021 17:04,,
PETTY THEFT,210810605,S KING RD / LAVONNE AV,San Jose Police,3/22/2021 15:46,,
PETTY THEFT,210810604,1600 BLK HONEYSUCKLE DR,San Jose Police,3/22/2021 15:45,,
AGG ASSAULT,210810591,15 BLK S 19TH ST,San Jose Police,3/22/2021 15:34,,
AUTO THEFT,210810568,1500 BLK CUNNINGHAM AV,San Jose Police,3/22/2021 15:04,,
AUTO THEFT,210810473,500 BLK S MARKET ST,San Jose Police,3/22/2021 15:01,,
FORGERY/FRAUD,210819512,2600 BLK GOLDWOOD CT,San Jose Police,3/22/2021 14:16,,
VANDALISM,210813222,2400 BLK SENTER RD,San Jose Police,3/22/2021 14:13,,
FORGERY/FRAUD,210819511,1600 BLK CUNNINGHAM AV,San Jose Police,3/22/2021 13:47,,
PETTY THEFT,210813223,1800 BLK LUKE CT,San Jose Police,3/22/2021 13:33,,
ASSAULT,210819509,15 BLK S 7TH ST,San Jose Police,3/22/2021 13:20,,
ASSAULT,210810460,2100 BLK MONTEREY RD,San Jose Police,3/22/2021 13:18,,
FORGERY/FRAUD,210819507,3400 BLK CUESTA DR,San Jose Police,3/22/2021 13:11,,
BURGLARY,210810451,1600 BLK ALUM ROCK AV,San Jose Police,3/22/2021 13:08,,
BURGLARY,210810431,1800 BLK LUCRETIA AV,San Jose Police,3/22/2021 12:41,,
PETTY THEFT,210813212,2100 BLK ABORN RD,San Jose Police,3/22/2021 11:47,,
PETTY THEFT,210810376,2900 BLK ABORN SQUARE RD,San Jose Police,3/22/2021 11:33,,
WEAPONS,210810348,3400 BLK MARTEN AV,San Jose Police,3/22/2021 11:05,,
VANDALISM,210813208,1900 BLK SENTER RD,San Jose Police,3/22/2021 10:44,,
FORGERY/FRAUD,210819702,1600 BLK E SAN ANTONIO ST,San Jose Police,3/22/2021 10:27,,
NARCOTICS,210810296,300 BLK S 10TH ST,San Jose Police,3/22/2021 10:12,,
VANDALISM,210813203,200 BLK S 10TH ST,San Jose Police,3/22/2021 10:10,,
BURGLARY,210810246,2600 BLK CASEY WY,San Jose Police,3/22/2021 9:18,,
BURGLARY,210810216,2200 BLK LUCRETIA AV,San Jose Police,3/22/2021 8:35,,
BURGLARY,210810215,900 BLK S 6TH ST,San Jose Police,3/22/2021 8:33,,
NARCOTICS,210810031,E SAN FERNANDO ST / S 11TH ST,San Jose Police,3/22/2021 3:57,,
NARCOTICS,210810068,E WILLIAM ST / S 19TH ST,San Jose Police,3/22/2021 3:19,,
NARCOTICS,210810044,N 26TH ST / E JULIAN ST,San Jose Police,3/22/2021 3:05,,
DUI,210810093,E CAPITOL EXPY / OCALA AV,San Jose Police,3/22/2021 2:34,,
PETTY THEFT,210810047,2500 BLK S KING RD,San Jose Police,3/22/2021 1:12,,
