Description,Incident #,Location,Agency,Date
DRUG OFFENSE,GO 202159114,1300 BLK 22ND ST,Bakersfield Police,3/29/2021 18:32
BURGLARY-FORCED-BUSINESS,GO 202158760,1000 BLK CHESTER AV,Bakersfield Police,3/29/2021 3:00
TRAFFIC-DUI DRUGS MISDEMEANOR,GO 202158646,1800 BLK ST / L ST,Bakersfield Police,3/29/2021 1:29
AUTO THEFT,GO 202158616,2200 BLK TRUXTUN AV,Bakersfield Police,3/29/2021 0:20
BURGLARY-FORCED-RESIDENCE,GO 202163435,700 BLK ESPEE ST,Bakersfield Police,3/28/2021 23:00
WEAPON-POSSESS MISD,GO 202158484,1400 BLK H ST,Bakersfield Police,3/28/2021 19:40
DRUG-AMPHETAMINE-POSSESSION,GO 202158309,1100 BLK UNION AV,Bakersfield Police,3/28/2021 14:34
BURG-VEH (THEFT OF NON-PARTS),GO 202158293,1600 BLK 18TH ST,Bakersfield Police,3/27/2021 22:00
ASSAULT-SIMPLE,GO 202157828,400 BLK E 10TH ST,Bakersfield Police,3/27/2021 20:56
THEFT,GO 202157764,1200 BLK 19TH ST,Bakersfield Police,3/27/2021 19:19
DRUG OFFENSE,GO 202157685,2300 BLK ST / M ST,Bakersfield Police,3/27/2021 17:21
WEAPON-POSSESS MISD,GO 202157662,1000 BLK ESPEE ST,Bakersfield Police,3/27/2021 16:41
AUTO THEFT,GO 202157586,800 BLK WALLACE ST,Bakersfield Police,3/27/2021 14:12
AGG ASSAULT-WEAPON,GO 202157545,1100 BLK CHESTER AV,Bakersfield Police,3/27/2021 12:59
THEFT-CATALYTIC CONVERTER,GO 2021802278,1900 BLK Q ST,Bakersfield Police,3/27/2021 11:00
THEFT-CATALYTIC CONVERTER,GO 202157581,600 BLK E CALIFORNIA AV,Bakersfield Police,3/27/2021 9:45
DRUG-PARAPHERNALIA POSSESSION,GO 202157419,1500 BLK 21ST ST,Bakersfield Police,3/27/2021 8:34
TRAFFIC-DUI ALCOHOL FELONY,GO 202157370,ALTA VISTA DR / KENTUCKY ST,Bakersfield Police,3/27/2021 5:16
TRAFFIC-DUI ALCOHOL FELONY,GO 202158538,ALTA VISTA DR / KENTUCKY ST,Bakersfield Police,3/27/2021 5:16
BURG-VEH (THEFT OF NON-PARTS),GO 2021802045,0 BLK MONTEREY ST,Bakersfield Police,3/27/2021 0:00
AUTO THEFT,GO 202157321,300 BLK E 18TH ST,Bakersfield Police,3/26/2021 23:00
BURG-VEH (THEFT OF NON-PARTS),GO 2021802214,800 BLK TRUXTUN AV,Bakersfield Police,3/26/2021 20:40
AUTO THEFT,GO 202157428,1700 BLK 18TH ST,Bakersfield Police,3/26/2021 20:20
THEFT-CATALYTIC CONVERTER,GO 202156643,1400 BLK 24TH ST,Bakersfield Police,3/26/2021 4:30
AUTO THEFT,GO 202157517,2500 BLK UNION AV,Bakersfield Police,3/26/2021 0:00
AUTO THEFT,GO 202156549,800 BLK TRUXTUN AV,Bakersfield Police,3/25/2021 23:45
AUTO THEFT,GO 202156715,600 BLK TRUXTUN AV,Bakersfield Police,3/25/2021 21:00
THEFT-FROM PERSON/POCKET PICK,GO 202156761,2600 BLK H ST,Bakersfield Police,3/25/2021 16:30
AGG ASSAULT-FAMILY ID WEAPON,GO 202156317,2300 BLK CHESTER AV,Bakersfield Police,3/25/2021 16:23
AUTO THEFT,GO 202156328,1100 BLK UNION AV,Bakersfield Police,3/25/2021 16:00
ROBBERY-CARJACKING-ARMED,GO 202156295,700 BLK M ST,Bakersfield Police,3/25/2021 15:41
THEFT-CATALYTIC CONVERTER,GO 202156745,2200 BLK Q ST,Bakersfield Police,3/25/2021 7:00
THEFT-CATALYTIC CONVERTER,GO 202155732,1900 BLK 19TH ST,Bakersfield Police,3/24/2021 16:40
THEFT-FROM UNLOCKED VEHICLE,GO 2021802158,1400 BLK 19TH ST,Bakersfield Police,3/24/2021 11:45
WEAPON-POSSESS MISD,GO 202155262,2300 BLK L ST,Bakersfield Police,3/24/2021 9:30
POSSIBLE ASSAULT,GO 202155171,800 BLK UNION AV,Bakersfield Police,3/24/2021 7:06
AUTO THEFT,GO 202155162,400 BLK 8TH ST,Bakersfield Police,3/23/2021 20:00
THEFT-CATALYTIC CONVERTER,GO 202154927,2100 BLK 24TH ST,Bakersfield Police,3/23/2021 14:00
ROBBERY-STREET-STRONGARM,GO 202154634,2500 BLK M ST,Bakersfield Police,3/23/2021 11:42
THEFT-CATALYTIC CONVERTER,GO 202154827,2700 BLK M ST,Bakersfield Police,3/23/2021 8:05
THEFT-CATALYTIC CONVERTER,GO 202155304,1700 BLK 24TH ST,Bakersfield Police,3/22/2021 23:00
BURGLARY-FORCED-BUSINESS,GO 202154334,300 BLK CALIFORNIA AV,Bakersfield Police,3/22/2021 22:01
THEFT,GO 202154603,1100 BLK 19TH ST,Bakersfield Police,3/22/2021 21:00
AUTO THEFT,GO 202154538,400 BLK 20TH ST,Bakersfield Police,3/22/2021 17:10
AUTO THEFT,GO 202154492,500 BLK E 19TH ST,Bakersfield Police,3/22/2021 16:00
BURGLARY-FORCED-BUSINESS,GO 202154492,500 BLK E 19TH ST,Bakersfield Police,3/22/2021 16:00
BURGLARY-FORCED-BUSINESS,GO 202154508,2100 BLK P ST,Bakersfield Police,3/22/2021 13:00
WEAPON-POSSESS MISD,GO 202153781,2100 BLK CHESTER AV,Bakersfield Police,3/22/2021 8:17
BURGLARY-FORCED-BUSINESS,GO 202153751,800 BLK CHESTER AV,Bakersfield Police,3/22/2021 6:54
BURGLARY-FORCED-BUSINESS,GO 202153732,1600 BLK 20TH ST,Bakersfield Police,3/22/2021 6:00
AGG ASSAULT-WEAPON,GO 202153700,200 BLK E 18TH ST,Bakersfield Police,3/22/2021 2:20
