Description,Incident #,Location,Agency,Date,street_address,city,state,lat,long
PETTY THEFT - MAIL OR PACKAGE,2102612,12500 BLOCK SHOLANDER AVE,Chino Police,3/26/2021 14:09,12550 SHOLANDER AVE,Chino,CA,34.025295,-117.71383
GRAND THEFT - OTHER,2102724,5500 BLOCK SCHAEFER AVE,Chino Police,3/26/2021 13:15,5550 SCHAEFER AVE,Chino,CA,34.004593,-117.68355
PETTY THEFT - FROM BUILDINGS,2102605,5500 BLOCK PHILADELPHIA ST,Chino Police,3/26/2021 12:10,5550 PHILADELPHIA ST,Chino,CA,34.033627,-117.68345
BURGLARY - FROM MOTOR VEHICLE,2102611,6600 BLOCK KING ST,Chino Police,3/26/2021 11:30,6650 KING ST,Chino,CA,34.027493,-117.65986
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102602,MOUNTAIN AVE/WALNUT AVE,Chino Police,3/26/2021 10:40,MOUNTAIN AVE & WALNUT AVE,Chino,CA,,
POSSESS CONTROLLED SUBSTANCE,2102599,12100 BLOCK SERRA AVE,Chino Police,3/26/2021 9:00,12150 SERRA AVE,Chino,CA,34.032436,-117.700775
SELL/FURNISH/ETC MARIJUANA/HASHISH,2102592,14300 BLOCK CENTRAL AVE,Chino Police,3/26/2021 0:31,14350 CENTRAL AVE,Chino,CA,33.994164,-117.689
ROBBERY - OTHER DANGEROUS WEAPON,2102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 19:43,14550 RAMONA AVE,Chino,CA,33.98903,-117.70638
ROBBERY - OTHER DANGEROUS WEAPON,7102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 19:43,14550 RAMONA AVE,Chino,CA,33.98903,-117.70638
ROBBERY - OTHER DANGEROUS WEAPON,2102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 19:43,14550 RAMONA AVE,Chino,CA,33.98903,-117.70638
PETTY THEFT - FROM BUILDINGS,2102598,4000 BLOCK GRAND AVE,Chino Police,3/25/2021 19:20,4050 GRAND AVE,Chino,CA,,
GRAND THEFT,2102581,5900 BLOCK SYCAMORE CT,Chino Police,3/25/2021 14:41,5950 SYCAMORE CT,Chino,CA,34.000557,-117.67475
PARAPHERNALIA - POSSESS UNLAWFUL,2102576,12100 BLOCK CENTRAL AVE,Chino Police,3/25/2021 12:40,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
OBTAIN MONEY/ETC BY FALSE PRETENSES (OVER $950),2102573,4300 BLOCK RAINIER CT,Chino Police,3/25/2021 11:42,4350 RAINIER CT,Chino,CA,34.01332,-117.710175
IDENTITY THEFT: GET CREDIT/ETC OTHER`S ID,2102570,4000 BLOCK GRAND AVE,Chino Police,3/25/2021 0:00,4050 GRAND AVE,Chino,CA,,
ROBBERY - OTHER DANGEROUS WEAPON,2102586,14500 BLOCK RAMONA AVE,Chino Police,3/25/2021 0:00,14550 RAMONA AVE,Chino,CA,33.98903,-117.70638
VANDALISM ($400 OR MORE),2102566,12700 BLOCK 9TH ST,Chino Police,3/24/2021 23:00,12750 9TH ST,Chino,CA,34.0224,-117.68806
POSSESS CONTROLLED SUBSTANCE,2102556,11600 BLOCK RAMONA AVE,Chino Police,3/24/2021 21:56,11650 RAMONA AVE,Chino,CA,34.041874,-117.70696
POSSESS CONTROLLED SUBSTANCE,2102550,6700 BLOCK CHINO AVE,Chino Police,3/24/2021 14:47,6750 CHINO AVE,Chino,CA,34.011997,-117.65737
PARAPHERNALIA - POSSESS UNLAWFUL,2102536,12100 BLOCK CENTRAL AVE,Chino Police,3/24/2021 6:51,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
