Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
ASSAULT,210950683,1600 BLK ALUM ROCK AV,San Jose Police,4/5/2021 19:20,4/5/2021,April,Monday,19:20,PM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
BURGLARY,210910217,1600 BLK ALUM ROCK AV,San Jose Police,4/1/2021 9:58,4/1/2021,April,Thursday, 9:58,AM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
VANDALISM,210890539,1600 BLK ALUM ROCK AV,San Jose Police,3/30/2021 17:00,3/30/2021,March,Tuesday,17:00,PM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
NARCOTICS,210820012,1600 BLK ALUM ROCK AV,San Jose Police,3/23/2021 0:09,3/23/2021,March,Tuesday, 0:09,AM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
BURGLARY,210810451,1600 BLK ALUM ROCK AV,San Jose Police,3/22/2021 13:08,3/22/2021,March,Monday,13:08,PM,1650 ALUM ROCK AV,San Jose,CA,37.351593,-121.858055
BURGLARY,210820044,15 BLK N 33RD ST,San Jose Police,3/23/2021 1:30,3/23/2021,March,Tuesday, 1:30,AM,15 BLK N 33RD ST,San Jose,CA,37.351624,-121.85955
LICENSE PLATE,210900245,1800 BLK E SAN ANTONIO ST,San Jose Police,3/31/2021 8:57,3/31/2021,March,Wednesday, 8:57,AM,1850 E SAN ANTONIO ST,San Jose,CA,37.351646,-121.84891
AUTO THEFT,210820367,1800 BLK E SAN ANTONIO ST,San Jose Police,3/23/2021 11:31,3/23/2021,March,Tuesday,11:31,AM,1850 E SAN ANTONIO ST,San Jose,CA,37.351646,-121.84891
ASSAULT,210990028,1500 BLK MT SHASTA DR,San Jose Police,4/9/2021 0:38,4/9/2021,April,Friday, 0:38,AM,1550 MT SHASTA DR,San Jose,CA,37.351753,-121.80808
AUTO THEFT,211040516,2700 BLK STORY RD,San Jose Police,4/14/2021 15:29,4/14/2021,April,Wednesday,15:29,PM,2750 STORY RD,San Jose,CA,37.35202,-121.82526
VANDALISM,210923206,1800 BLK FLINT CREEK CT,San Jose Police,4/2/2021 15:06,4/2/2021,April,Friday,15:06,PM,1850 FLINT CREEK CT,San Jose,CA,37.35213,-121.79192
PETTY THEFT,211030012,1200 BLK E JULIAN ST,San Jose Police,4/13/2021 0:43,4/13/2021,April,Tuesday, 0:43,AM,1250 E JULIAN ST,San Jose,CA,37.352154,-121.86948
GRAND THEFT,210860462,1700 BLK ALDER CREEK CT,San Jose Police,3/27/2021 12:49,3/27/2021,March,Saturday,12:49,PM,1750 ALDER CREEK CT,San Jose,CA,37.352474,-121.79419
PETTY THEFT,210843220,600 BLK SONI CT,San Jose Police,3/25/2021 14:50,3/25/2021,March,Thursday,14:50,PM,650 SONI CT,San Jose,CA,37.352882,-121.835884
AUTO THEFT,210930761,STOWE AV/MCCREERY AV,San Jose Police,4/3/2021 19:17,4/3/2021,April,Saturday,19:17,PM,STOWE AV & MCCREERY AV,San Jose,CA,37.352947,-121.850555
AUTO THEFT,211020479,2400 BLK DOBERN AV,San Jose Police,4/12/2021 12:54,4/12/2021,April,Monday,12:54,PM,2450 DOBERN AV,San Jose,CA,37.353287,-121.835175
ASSAULT,210990386,2400 BLK DOBERN AV,San Jose Police,4/9/2021 12:48,4/9/2021,April,Friday,12:48,PM,2450 DOBERN AV,San Jose,CA,37.353287,-121.835175
PETTY THEFT,210940570,2400 BLK DOBERN AV,San Jose Police,4/4/2021 16:44,4/4/2021,April,Sunday,16:44,PM,2450 DOBERN AV,San Jose,CA,37.353287,-121.835175
GRAND THEFT,210989505,3500 BLK COLUMBINE DR,San Jose Police,4/8/2021 15:29,4/8/2021,April,Thursday,15:29,PM,3550 COLUMBINE DR,San Jose,CA,37.35339,-121.79788
AGG ASSAULT,210900525,3500 BLK COLUMBINE DR,San Jose Police,3/31/2021 18:07,3/31/2021,March,Wednesday,18:07,PM,3550 COLUMBINE DR,San Jose,CA,37.35339,-121.79788
AUTO THEFT,210910395,200 BLK PACKING PL,San Jose Police,4/1/2021 12:53,4/1/2021,April,Thursday,12:53,PM,250 PACKING PL,San Jose,CA,37.35358,-121.84198
ROBBERY,210811042,200 BLK PACKING PL,San Jose Police,3/22/2021 23:10,3/22/2021,March,Monday,23:10,PM,250 PACKING PL,San Jose,CA,37.35358,-121.84198
AUTO THEFT,211000689,15 BLK KENTUCKY PL,San Jose Police,4/10/2021 20:58,4/10/2021,April,Saturday,20:58,PM,15 BLK KENTUCKY PL,San Jose,CA,37.353737,-121.85318
BURGLARY,211040815,1800 BLK ALUM ROCK AV,San Jose Police,4/14/2021 20:04,4/14/2021,April,Wednesday,20:04,PM,1850 ALUM ROCK AV,San Jose,CA,37.3542,-121.85261
