Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,time_ampm,street_address,city,state,lat,long
ASSAULT,210940278,1100 BLK TULLY RD,San Jose Police,4/4/2021 10:27,4/4/2021,April,Sunday,10:27,AM,1150 TULLY RD,San Jose,CA,37.31508,-121.83663
ROBBERY,210920213,1100 BLK TULLY RD,San Jose Police,4/2/2021 8:16,4/2/2021,April,Friday, 8:16,AM,1150 TULLY RD,San Jose,CA,37.31508,-121.83663
PETTY THEFT,211053200,1500 BLK TOSCA CT,San Jose Police,4/15/2021 11:07,4/15/2021,April,Thursday,11:07,AM,1550 TOSCA CT,San Jose,CA,37.315186,-121.82584
AUTO THEFT,211020360,2300 BLK LUCRETIA AV,San Jose Police,4/12/2021 10:32,4/12/2021,April,Monday,10:32,AM,2350 LUCRETIA AV,San Jose,CA,37.31525,-121.840355
GRAND THEFT,210973244,2300 BLK LUCRETIA AV,San Jose Police,4/7/2021 15:12,4/7/2021,April,Wednesday,15:12,PM,2350 LUCRETIA AV,San Jose,CA,37.31525,-121.840355
AUTO THEFT,210921037,2300 BLK LUCRETIA AV,San Jose Police,4/2/2021 22:37,4/2/2021,April,Friday,22:37,PM,2350 LUCRETIA AV,San Jose,CA,37.31525,-121.840355
AGG ASSAULT,210879849,2300 BLK LUCRETIA AV,San Jose Police,3/28/2021 15:44,3/28/2021,March,Sunday,15:44,PM,2350 LUCRETIA AV,San Jose,CA,37.31525,-121.840355
AGG ASSAULT,210829801,2300 BLK LUCRETIA AV,San Jose Police,3/23/2021 6:18,3/23/2021,March,Tuesday, 6:18,AM,2350 LUCRETIA AV,San Jose,CA,37.31525,-121.840355
NARCOTICS,211060663,NICKEL AV / S KING RD,San Jose Police,4/16/2021 17:16,4/16/2021,April,Friday,17:16,PM,NICKEL AV &  S KING RD,San Jose,CA,37.315372,-121.81922
AUTO THEFT,211010322,2900 BLK NIEMAN BL,San Jose Police,4/11/2021 9:29,4/11/2021,April,Sunday, 9:29,AM,2950 NIEMAN BL,San Jose,CA,37.31544,-121.805435
DRUNK PUBLIC,210970687,2900 BLK NIEMAN BL,San Jose Police,4/7/2021 16:08,4/7/2021,April,Wednesday,16:08,PM,2950 NIEMAN BL,San Jose,CA,37.31544,-121.805435
BURGLARY,210940050,1600 BLK ENESCO AVENUE,San Jose Police,4/4/2021 0:59,4/4/2021,April,Sunday, 0:59,AM,1650 ENESCO AVENUE,San Jose,CA,37.315536,-121.82167
PETTY THEFT,211020170,2800 BLK MOSS HOLLOW DR,San Jose Police,4/12/2021 6:25,4/12/2021,April,Monday, 6:25,AM,2850 MOSS HOLLOW DR,San Jose,CA,37.31559,-121.809235
BURGLARY,210870306,900 BLK SUMMERSIDE DR,San Jose Police,3/28/2021 10:26,3/28/2021,March,Sunday,10:26,AM,950 SUMMERSIDE DR,San Jose,CA,37.315712,-121.8436
LICENSE PLATE,211020823,1600 BLK TIERRA BUENA DR,San Jose Police,4/12/2021 18:12,4/12/2021,April,Monday,18:12,PM,1650 TIERRA BUENA DR,San Jose,CA,37.316044,-121.82227
BURGLARY,210960565,1300 BLK SHERMAN ST,San Jose Police,4/6/2021 14:00,4/6/2021,April,Tuesday,14:00,PM,1350 SHERMAN ST,San Jose,CA,37.316166,-121.875595
PETTY THEFT,211010962,1400 BLK TULLY RD,San Jose Police,4/11/2021 23:36,4/11/2021,April,Sunday,23:36,PM,1450 TULLY RD,San Jose,CA,37.316185,-121.835
ASSAULT,211070240,2700 BLK OPHELIA AV,San Jose Police,4/17/2021 10:30,4/17/2021,April,Saturday,10:30,AM,2750 OPHELIA AV,San Jose,CA,37.316353,-121.81653
NARCOTICS,211000713,KING RD/ENESCO AV,San Jose Police,4/10/2021 18:50,4/10/2021,April,Saturday,18:50,PM,KING RD & ENESCO AV,San Jose,CA,37.316486,-121.82028
NARCOTICS,210850388,2500 BLK FONTAINE RD,San Jose Police,3/26/2021 12:36,3/26/2021,March,Friday,12:36,PM,2550 FONTAINE RD,San Jose,CA,37.3165,-121.82884
AUTO THEFT,210840142,2500 BLK FONTAINE RD,San Jose Police,3/25/2021 6:16,3/25/2021,March,Thursday, 6:16,AM,2550 FONTAINE RD,San Jose,CA,37.3165,-121.82884
ASSAULT,210820790,2500 BLK FONTAINE RD,San Jose Police,3/23/2021 19:01,3/23/2021,March,Tuesday,19:01,PM,2550 FONTAINE RD,San Jose,CA,37.3165,-121.82884
BURGLARY,210990243,1800 BLK SENTER RD,San Jose Police,4/9/2021 10:06,4/9/2021,April,Friday,10:06,AM,1850 SENTER RD,San Jose,CA,37.31651,-121.85684
FORGERY/FRAUD,210969509,1800 BLK SENTER RD,San Jose Police,4/6/2021 15:12,4/6/2021,April,Tuesday,15:12,PM,1850 SENTER RD,San Jose,CA,37.31651,-121.85684
AUTO THEFT,210950141,1800 BLK SENTER RD,San Jose Police,4/5/2021 7:12,4/5/2021,April,Monday, 7:12,AM,1850 SENTER RD,San Jose,CA,37.31651,-121.85684
VANDALISM,210930347,1800 BLK SENTER RD,San Jose Police,4/3/2021 13:18,4/3/2021,April,Saturday,13:18,PM,1850 SENTER RD,San Jose,CA,37.31651,-121.85684
CHECKS,210893221,1800 BLK SENTER RD,San Jose Police,3/30/2021 13:36,3/30/2021,March,Tuesday,13:36,PM,1850 SENTER RD,San Jose,CA,37.31651,-121.85684
VANDALISM,210823240,1800 BLK SENTER RD,San Jose Police,3/23/2021 18:49,3/23/2021,March,Tuesday,18:49,PM,1850 SENTER RD,San Jose,CA,37.31651,-121.85684
PETTY THEFT,210923220,1600 BLK CENTER RIDGE DR,San Jose Police,4/2/2021 18:39,4/2/2021,April,Friday,18:39,PM,1650 CENTER RIDGE DR,San Jose,CA,37.31661,-121.82273
PETTY THEFT,210853205,3100 BLK HERITAGE VALLEY DR,San Jose Police,3/26/2021 13:47,3/26/2021,March,Friday,13:47,PM,3150 HERITAGE VALLEY DR,San Jose,CA,37.31692,-121.778786
LICENSE PLATE,210890512,1500 BLK FLANIGAN DR,San Jose Police,3/30/2021 13:24,3/30/2021,March,Tuesday,13:24,PM,1550 FLANIGAN DR,San Jose,CA,37.316956,-121.82607
AUTO THEFT,210860236,2900 BLK FENWICK WY,San Jose Police,3/27/2021 7:39,3/27/2021,March,Saturday, 7:39,AM,2950 FENWICK WY,San Jose,CA,37.317,-121.803795
FORGERY/FRAUD,210903205,1600 BLK BOWLING GREEN DR,San Jose Police,3/31/2021 17:55,3/31/2021,March,Wednesday,17:55,PM,1650 BOWLING GREEN DR,San Jose,CA,37.317074,-121.823326
VANDALISM,210830326,2600 BLK ALVIN AV,San Jose Police,3/24/2021 10:03,3/24/2021,March,Wednesday,10:03,AM,2650 ALVIN AV,San Jose,CA,37.31722,-121.8243
GRAND THEFT,211073210,2000 BLK LUCRETIA AV,San Jose Police,4/17/2021 23:19,4/17/2021,April,Saturday,23:19,PM,2050 LUCRETIA AV,San Jose,CA,37.31727,-121.844666
VANDALISM,210893204,2000 BLK LUCRETIA AV,San Jose Police,3/30/2021 9:19,3/30/2021,March,Tuesday, 9:19,AM,2050 LUCRETIA AV,San Jose,CA,37.31727,-121.844666
ROBBERY,211050680,1700 BLK SENTER RD,San Jose Police,4/15/2021 18:03,4/15/2021,April,Thursday,18:03,PM,1750 SENTER RD,San Jose,CA,37.31747,-121.85777
AUTO THEFT,210950487,2300 BLK DENAIR AV,San Jose Police,4/5/2021 18:19,4/5/2021,April,Monday,18:19,PM,2350 DENAIR AV,San Jose,CA,37.317745,-121.83561
GRAND THEFT,211050615,2800 BLK SCOTTSDALE DR,San Jose Police,4/15/2021 16:30,4/15/2021,April,Thursday,16:30,PM,2850 SCOTTSDALE DR,San Jose,CA,37.31783,-121.80111
ROBBERY,211000822,1300 BLK SENTER RD,San Jose Police,4/10/2021 20:59,4/10/2021,April,Saturday,20:59,PM,1350 SENTER RD,San Jose,CA,37.318,-121.858284
PETTY THEFT,210943213,1300 BLK SENTER RD,San Jose Police,4/4/2021 22:54,4/4/2021,April,Sunday,22:54,PM,1350 SENTER RD,San Jose,CA,37.318,-121.858284
AUTO THEFT,210910223,1300 BLK SENTER RD,San Jose Police,4/1/2021 8:12,4/1/2021,April,Thursday, 8:12,AM,1350 SENTER RD,San Jose,CA,37.318,-121.858284
DISTURB PEACE,210870314,1300 BLK SENTER RD,San Jose Police,3/28/2021 9:30,3/28/2021,March,Sunday, 9:30,AM,1350 SENTER RD,San Jose,CA,37.318,-121.858284
INDECENT EXPOSURE,211020444,1800 BLK ENESCO AV,San Jose Police,4/12/2021 11:54,4/12/2021,April,Monday,11:54,AM,1850 ENESCO AV,San Jose,CA,37.318043,-121.81759
VANDALISM,200910180,1600 BLK SENTER RD,San Jose Police,4/1/2021 7:22,4/1/2021,April,Thursday, 7:22,AM,1650 SENTER RD,San Jose,CA,37.31807,-121.85835
PETTY THEFT,210840134,1600 BLK SENTER RD,San Jose Police,3/25/2021 5:51,3/25/2021,March,Thursday, 5:51,AM,1650 SENTER RD,San Jose,CA,37.31807,-121.85835
AGG ASSAULT,210829879,1800 BLK JENEANE MARIE CL,San Jose Police,3/23/2021 17:53,3/23/2021,March,Tuesday,17:53,PM,1850 JENEANE MARIE CL,San Jose,CA,37.318085,-121.84625
GRAND THEFT,210840463,2200 BLK MCLAUGHLIN AV,San Jose Police,3/25/2021 12:43,3/25/2021,March,Thursday,12:43,PM,2250 MCLAUGHLIN AV,San Jose,CA,37.3181,-121.839355
PETTY THEFT,210843224,2200 BLK MCLAUGHLIN AV,San Jose Police,3/25/2021 1:28,3/25/2021,March,Thursday, 1:28,AM,2250 MCLAUGHLIN AV,San Jose,CA,37.3181,-121.839355
ASSAULT,210810877,2200 BLK MCLAUGHLIN AV,San Jose Police,3/22/2021 19:57,3/22/2021,March,Monday,19:57,PM,2250 MCLAUGHLIN AV,San Jose,CA,37.3181,-121.839355
NARCOTICS,210980180,1100 BLK SPOKANE DR,San Jose Police,4/8/2021 9:49,4/8/2021,April,Thursday, 9:49,AM,1150 SPOKANE DR,San Jose,CA,37.31812,-121.838104
AUTO THEFT,211070225,4000 BLK LAKE RIDGE LN,San Jose Police,4/17/2021 9:25,4/17/2021,April,Saturday, 9:25,AM,4050 LAKE RIDGE LN,San Jose,CA,37.31821,-121.77517
ASSAULT,211039514,2500 BLK ALVIN AV,San Jose Police,4/13/2021 15:01,4/13/2021,April,Tuesday,15:01,PM,2550 ALVIN AV,San Jose,CA,37.31836,-121.82543
ASSAULT,210929502,2500 BLK ALVIN AV,San Jose Police,4/2/2021 14:28,4/2/2021,April,Friday,14:28,PM,2550 ALVIN AV,San Jose,CA,37.31836,-121.82543
GRAND THEFT,210920320,2500 BLK ALVIN AV,San Jose Police,4/2/2021 10:17,4/2/2021,April,Friday,10:17,AM,2550 ALVIN AV,San Jose,CA,37.31836,-121.82543
LICENSE PLATE,211040632,200 BLK WILLOW ST,San Jose Police,4/14/2021 16:43,4/14/2021,April,Wednesday,16:43,PM,250 WILLOW ST,San Jose,CA,37.318394,-121.88312
BURGLARY,211040115,200 BLK WILLOW ST,San Jose Police,4/14/2021 14:28,4/14/2021,April,Wednesday,14:28,PM,250 WILLOW ST,San Jose,CA,37.318394,-121.88312
DISTURB PEACE,211060042,600 BLK NORDALE AV,San Jose Police,4/16/2021 1:11,4/16/2021,April,Friday, 1:11,AM,650 NORDALE AV,San Jose,CA,37.31841,-121.85685
DRUNK PUBLIC,210890997,2400 BLK FONTAINE RD,San Jose Police,3/30/2021 22:37,3/30/2021,March,Tuesday,22:37,PM,2450 FONTAINE RD,San Jose,CA,37.318436,-121.829315
CREDIT CARD,210913211,2600 BLK OTHELLO AV,San Jose Police,4/1/2021 12:37,4/1/2021,April,Thursday,12:37,PM,2650 OTHELLO AV,San Jose,CA,37.31845,-121.81984
DISTURB PEACE,210899507,2600 BLK OTHELLO AV,San Jose Police,3/30/2021 13:25,3/30/2021,March,Tuesday,13:25,PM,2650 OTHELLO AV,San Jose,CA,37.31845,-121.81984
VANDALISM,210943201,15 BLK W HUMBOLDT ST,San Jose Police,4/4/2021 10:37,4/4/2021,April,Sunday,10:37,AM,15 BLK W HUMBOLDT ST,San Jose,CA,37.318497,-121.876724
AUTO THEFT,210980583,100 BLK GRAHAM AV,San Jose Police,4/8/2021 16:09,4/8/2021,April,Thursday,16:09,PM,150 GRAHAM AV,San Jose,CA,37.319103,-121.881065
NARCOTICS,211000430,RIGOLETTO DR / AIDA AV,San Jose Police,4/10/2021 13:29,4/10/2021,April,Saturday,13:29,PM,RIGOLETTO DR &  AIDA AV,San Jose,CA,37.31917,-121.821655
VANDALISM,210930228,1700 BLK BEVIN BROOK DR,San Jose Police,4/3/2021 10:07,4/3/2021,April,Saturday,10:07,AM,1750 BEVIN BROOK DR,San Jose,CA,37.319176,-121.85557
ROBBERY,211030429,2400 BLK ALVIN AV,San Jose Police,4/13/2021 11:30,4/13/2021,April,Tuesday,11:30,AM,2450 ALVIN AV,San Jose,CA,37.31939,-121.82664
VANDALISM,211003200,2400 BLK ALVIN AV,San Jose Police,4/10/2021 10:49,4/10/2021,April,Saturday,10:49,AM,2450 ALVIN AV,San Jose,CA,37.31939,-121.82664
CHECKS,210959504,2400 BLK ALVIN AV,San Jose Police,4/5/2021 14:10,4/5/2021,April,Monday,14:10,PM,2450 ALVIN AV,San Jose,CA,37.31939,-121.82664
CHECKS,210889504,2400 BLK ALVIN AV,San Jose Police,3/29/2021 14:12,3/29/2021,March,Monday,14:12,PM,2450 ALVIN AV,San Jose,CA,37.31939,-121.82664
INDECENT EXPOSURE,210820300,2400 BLK ALVIN AV,San Jose Police,3/23/2021 10:24,3/23/2021,March,Tuesday,10:24,AM,2450 ALVIN AV,San Jose,CA,37.31939,-121.82664
VANDALISM,210983219,4100 BLK VOLTAIRE ST,San Jose Police,4/8/2021 9:18,4/8/2021,April,Thursday, 9:18,AM,4150 VOLTAIRE ST,San Jose,CA,37.319485,-121.76287
AUTO THEFT,210890216,4100 BLK VOLTAIRE ST,San Jose Police,3/30/2021 8:44,3/30/2021,March,Tuesday, 8:44,AM,4150 VOLTAIRE ST,San Jose,CA,37.319485,-121.76287
FORGERY/FRAUD,210973228,3100 BLK EDENBANK DR,San Jose Police,4/7/2021 16:57,4/7/2021,April,Wednesday,16:57,PM,3150 EDENBANK DR,San Jose,CA,37.319504,-121.79018
NARCOTICS,210890866,OTHELLO AV / RIGOLETTO DR,San Jose Police,3/30/2021 19:38,3/30/2021,March,Tuesday,19:38,PM,OTHELLO AV &  RIGOLETTO DR,San Jose,CA,37.31959,-121.82094
ASSAULT,211060813,2600 BLK BRAHMS AV,San Jose Police,4/16/2021 19:26,4/16/2021,April,Friday,19:26,PM,2650 BRAHMS AV,San Jose,CA,37.319603,-121.817566
NARCOTICS,211060803,2500 BLK S KING RD,San Jose Police,4/17/2021 0:02,4/17/2021,April,Saturday, 0:02,AM,2550 S KING RD,San Jose,CA,37.31961,-121.823265
BURGLARY,210940192,2500 BLK S KING RD,San Jose Police,4/4/2021 7:47,4/4/2021,April,Sunday, 7:47,AM,2550 S KING RD,San Jose,CA,37.31961,-121.823265
AGG ASSAULT,210879806,2500 BLK S KING RD,San Jose Police,3/28/2021 0:06,3/28/2021,March,Sunday, 0:06,AM,2550 S KING RD,San Jose,CA,37.31961,-121.823265
PETTY THEFT,210810047,2500 BLK S KING RD,San Jose Police,3/22/2021 1:12,3/22/2021,March,Monday, 1:12,AM,2550 S KING RD,San Jose,CA,37.31961,-121.823265
NARCOTICS,211030233,1600 BLK BURDETTE DR,San Jose Police,4/13/2021 8:17,4/13/2021,April,Tuesday, 8:17,AM,1650 BURDETTE DR,San Jose,CA,37.31976,-121.82591
PETTY THEFT,210840271,1600 BLK BURDETTE DR,San Jose Police,3/25/2021 9:28,3/25/2021,March,Thursday, 9:28,AM,1650 BURDETTE DR,San Jose,CA,37.31976,-121.82591
AGG ASSAULT,210839816,1300 BLK BAGELY WY,San Jose Police,3/24/2021 0:17,3/24/2021,March,Wednesday, 0:17,AM,1350 BAGELY WY,San Jose,CA,37.319847,-121.83534
LICENSE PLATE,210980729,1000 BLK DURNESS PL,San Jose Police,4/8/2021 18:27,4/8/2021,April,Thursday,18:27,PM,1050 DURNESS PL,San Jose,CA,37.320126,-121.843796
AUTO THEFT,210920535,15 BLK KEYES ST,San Jose Police,4/2/2021 13:53,4/2/2021,April,Friday,13:53,PM,15 BLK KEYES ST,San Jose,CA,37.320347,-121.877075
PETTY THEFT,210923223,3100 BLK WHITELEAF CT,San Jose Police,4/2/2021 3:25,4/2/2021,April,Friday, 3:25,AM,3150 WHITELEAF CT,San Jose,CA,37.320503,-121.78172
AGG ASSAULT,211070021,1000 BLK S 1ST ST,San Jose Police,4/17/2021 0:26,4/17/2021,April,Saturday, 0:26,AM,1050 S 1ST ST,San Jose,CA,37.320507,-121.87809
VANDALISM,210973213,1000 BLK S 1ST ST,San Jose Police,4/7/2021 7:43,4/7/2021,April,Wednesday, 7:43,AM,1050 S 1ST ST,San Jose,CA,37.320507,-121.87809
PETTY THEFT,210920307,3200 BLK CAROL LEAF CT,San Jose Police,4/2/2021 10:02,4/2/2021,April,Friday,10:02,AM,3250 CAROL LEAF CT,San Jose,CA,37.320766,-121.78082
NARCOTICS,211020146,BURDETTE DR / S KING RD,San Jose Police,4/12/2021 5:39,4/12/2021,April,Monday, 5:39,AM,BURDETTE DR &  S KING RD,San Jose,CA,37.320797,-121.8244
AUTO THEFT,211000289,2300 BLK TOLBERT CT,San Jose Police,4/10/2021 12:05,4/10/2021,April,Saturday,12:05,PM,2350 TOLBERT CT,San Jose,CA,37.32112,-121.83163
NARCOTICS,210900074,EVERDALE DR / CASTLETON DR,San Jose Police,3/31/2021 5:12,3/31/2021,March,Wednesday, 5:12,AM,EVERDALE DR &  CASTLETON DR,San Jose,CA,37.32123,-121.800735
AUTO THEFT,211010105,2000 BLK MCLAUGHLIN AV,San Jose Police,4/11/2021 1:29,4/11/2021,April,Sunday, 1:29,AM,2050 MCLAUGHLIN AV,San Jose,CA,37.321278,-121.84246
AGG ASSAULT,211060216,1600 BLK TULLY RD,San Jose Police,4/16/2021 8:51,4/16/2021,April,Friday, 8:51,AM,1650 TULLY RD,San Jose,CA,37.32144,-121.82722
ARSON,211010380,1600 BLK TULLY RD,San Jose Police,4/11/2021 10:33,4/11/2021,April,Sunday,10:33,AM,1650 TULLY RD,San Jose,CA,37.32144,-121.82722
VANDALISM,210990262,1600 BLK TULLY RD,San Jose Police,4/9/2021 10:30,4/9/2021,April,Friday,10:30,AM,1650 TULLY RD,San Jose,CA,37.32144,-121.82722
DRUNK PUBLIC,210960430,1600 BLK TULLY RD,San Jose Police,4/6/2021 12:11,4/6/2021,April,Tuesday,12:11,PM,1650 TULLY RD,San Jose,CA,37.32144,-121.82722
BURGLARY,210900158,1600 BLK TULLY RD,San Jose Police,3/31/2021 7:01,3/31/2021,March,Wednesday, 7:01,AM,1650 TULLY RD,San Jose,CA,37.32144,-121.82722
AUTO THEFT,211010378,2300 BLK LANAI AV,San Jose Police,4/11/2021 10:50,4/11/2021,April,Sunday,10:50,AM,2350 LANAI AV,San Jose,CA,37.321724,-121.830154
AUTO THEFT,210930790,3200 BLK VIN SANTO LN,San Jose Police,4/3/2021 19:45,4/3/2021,April,Saturday,19:45,PM,3250 VIN SANTO LN,San Jose,CA,37.32187,-121.77566
NARCOTICS,210960613,EVERDALE DR / STURLA DR,San Jose Police,4/6/2021 15:07,4/6/2021,April,Tuesday,15:07,PM,EVERDALE DR &  STURLA DR,San Jose,CA,37.32215,-121.80098
FORGERY/FRAUD,210863202,1800 BLK GRENADINE WY,San Jose Police,3/27/2021 15:14,3/27/2021,March,Saturday,15:14,PM,1850 GRENADINE WY,San Jose,CA,37.322205,-121.84746
AUTO THEFT,210970064,OSWEGO DR / ROBERTS AV,San Jose Police,4/7/2021 2:15,4/7/2021,April,Wednesday, 2:15,AM,OSWEGO DR &  ROBERTS AV,San Jose,CA,37.322243,-121.85296
PETTY THEFT,210970277,1800 BLK LUCRETIA AV,San Jose Police,4/7/2021 9:29,4/7/2021,April,Wednesday, 9:29,AM,1850 LUCRETIA AV,San Jose,CA,37.32234,-121.84969
VANDALISM,210823204,1800 BLK LUCRETIA AV,San Jose Police,3/23/2021 15:40,3/23/2021,March,Tuesday,15:40,PM,1850 LUCRETIA AV,San Jose,CA,37.32234,-121.84969
BURGLARY,210810431,1800 BLK LUCRETIA AV,San Jose Police,3/22/2021 12:41,3/22/2021,March,Monday,12:41,PM,1850 LUCRETIA AV,San Jose,CA,37.32234,-121.84969
NARCOTICS,210890799,2800 BLK SMITHERS DR,San Jose Police,3/30/2021 18:27,3/30/2021,March,Tuesday,18:27,PM,2850 SMITHERS DR,San Jose,CA,37.322414,-121.80255
AGG ASSAULT,211030900,2800 BLK SMITHERS DRIVE,San Jose Police,4/13/2021 19:16,4/13/2021,April,Tuesday,19:16,PM,2850 SMITHERS DRIVE,San Jose,CA,37.322414,-121.80255
ASSAULT,210979504,1100 BLK S 8TH ST,San Jose Police,4/7/2021 13:01,4/7/2021,April,Wednesday,13:01,PM,1150 S 8TH ST,San Jose,CA,37.322495,-121.87032
NARCOTICS,210830603,OSWEGO DR / TRIESTE CT,San Jose Police,3/24/2021 16:10,3/24/2021,March,Wednesday,16:10,PM,OSWEGO DR &  TRIESTE CT,San Jose,CA,37.322693,-121.852234
LICENSE PLATE,211050402,1700 BLK TULLY RD,San Jose Police,4/15/2021 12:33,4/15/2021,April,Thursday,12:33,PM,1750 TULLY RD,San Jose,CA,37.32279,-121.825264
NARCOTICS,211020208,1700 BLK TULLY RD,San Jose Police,4/12/2021 7:36,4/12/2021,April,Monday, 7:36,AM,1750 TULLY RD,San Jose,CA,37.32279,-121.825264
ASSAULT,210920826,1700 BLK TULLY RD,San Jose Police,4/2/2021 14:46,4/2/2021,April,Friday,14:46,PM,1750 TULLY RD,San Jose,CA,37.32279,-121.825264
PETTY THEFT,211040517,2900 BLK REMINGTON WY,San Jose Police,4/14/2021 14:46,4/14/2021,April,Wednesday,14:46,PM,2950 REMINGTON WY,San Jose,CA,37.323,-121.79389
AUTO THEFT,210850108,1800 BLK MARTELLO DR,San Jose Police,3/26/2021 4:07,3/26/2021,March,Friday, 4:07,AM,1850 MARTELLO DR,San Jose,CA,37.323017,-121.84536
AGG ASSAULT,210859801,900 BLK MILLS CORNER LN,San Jose Police,3/26/2021 17:21,3/26/2021,March,Friday,17:21,PM,950 MILLS CORNER LN,San Jose,CA,37.323246,-121.84879
GRAND THEFT,210883224,3400 BLK CHEMIN DE RIVIERE,San Jose Police,3/29/2021 10:49,3/29/2021,March,Monday,10:49,AM,3450 CHEMIN DE RIVIERE,San Jose,CA,37.32333,-121.77078
ASSAULT,211040471,2200 BLK QUIMBY RD,San Jose Police,4/14/2021 17:50,4/14/2021,April,Wednesday,17:50,PM,2250 QUIMBY RD,San Jose,CA,37.323345,-121.81062
VANDALISM,211010556,2800 BLK BURDICK WY,San Jose Police,4/11/2021 14:43,4/11/2021,April,Sunday,14:43,PM,2850 BURDICK WY,San Jose,CA,37.32351,-121.79973
AUTO THEFT,210830160,700 BLK STATE ST,San Jose Police,3/24/2021 7:20,3/24/2021,March,Wednesday, 7:20,AM,750 STATE ST,San Jose,CA,37.323597,-121.883804
DUI,210870204,BESTOR ST/ S 6TH ST.,San Jose Police,3/28/2021 7:35,3/28/2021,March,Sunday, 7:35,AM,BESTOR ST & S 6TH ST.,San Jose,CA,37.3237,-121.87408
NARCOTICS,210901119,HURAN DR / TULLY RD,San Jose Police,4/1/2021 3:53,4/1/2021,April,Thursday, 3:53,AM,HURAN DR &  TULLY RD,San Jose,CA,37.32382,-121.82375
AUTO THEFT,211040209,1300 BLK BALI CT,San Jose Police,4/14/2021 8:53,4/14/2021,April,Wednesday, 8:53,AM,1350 BALI CT,San Jose,CA,37.323902,-121.83868
ASSAULT,210920527,2800 BLK S WHITE RD,San Jose Police,4/2/2021 13:40,4/2/2021,April,Friday,13:40,PM,2850 S WHITE RD,San Jose,CA,37.32397,-121.79664
PETTY THEFT,210953225,1100 BLK S 12TH ST,San Jose Police,4/5/2021 13:51,4/5/2021,April,Monday,13:51,PM,1150 S 12TH ST,San Jose,CA,37.323975,-121.865776
AUTO THEFT,210900018,1600 BLK HONEYSUCKLE DR,San Jose Police,3/31/2021 0:21,3/31/2021,March,Wednesday, 0:21,AM,1650 HONEYSUCKLE DR,San Jose,CA,37.32406,-121.83046
LICENSE PLATE,210850777,1600 BLK HONEYSUCKLE DR,San Jose Police,3/26/2021 19:07,3/26/2021,March,Friday,19:07,PM,1650 HONEYSUCKLE DR,San Jose,CA,37.32406,-121.83046
PETTY THEFT,210810604,1600 BLK HONEYSUCKLE DR,San Jose Police,3/22/2021 15:45,3/22/2021,March,Monday,15:45,PM,1650 HONEYSUCKLE DR,San Jose,CA,37.32406,-121.83046
PETTY THEFT,210983205,15 BLK E VIRGINIA ST,San Jose Police,4/8/2021 19:11,4/8/2021,April,Thursday,19:11,PM,15 BLK E VIRGINIA ST,San Jose,CA,37.324238,-121.881195
WEAPONS,210840226,1700 BLK MCLAUGHLIN AVE,San Jose Police,3/25/2021 8:45,3/25/2021,March,Thursday, 8:45,AM,1750 MCLAUGHLIN AVE,San Jose,CA,37.324333,-121.84545
VANDALISM,210980389,1400 BLK ROBERTS AV,San Jose Police,4/8/2021 12:36,4/8/2021,April,Thursday,12:36,PM,1450 ROBERTS AV,San Jose,CA,37.324406,-121.85509
VANDALISM,210980300,1400 BLK ROBERTS AV,San Jose Police,4/8/2021 10:47,4/8/2021,April,Thursday,10:47,AM,1450 ROBERTS AV,San Jose,CA,37.324406,-121.85509
AUTO THEFT,211010525,1000 BLK S 9TH ST,San Jose Police,4/11/2021 14:02,4/11/2021,April,Sunday,14:02,PM,1050 S 9TH ST,San Jose,CA,37.324436,-121.870346
ARSON,210900534,ROBERTS AV / VINTAGE WY,San Jose Police,3/31/2021 13:25,3/31/2021,March,Wednesday,13:25,PM,ROBERTS AV &  VINTAGE WY,San Jose,CA,37.324448,-121.85513
AUTO THEFT,210830234,2200 BLK TAMPA WY,San Jose Police,3/24/2021 8:36,3/24/2021,March,Wednesday, 8:36,AM,2250 TAMPA WY,San Jose,CA,37.324493,-121.82919
NARCOTICS,210861169,15 BLK UNION ST,San Jose Police,3/27/2021 23:54,3/27/2021,March,Saturday,23:54,PM,15 BLK UNION ST,San Jose,CA,37.32457,-121.882454
ASSAULT,211040909,3100 BLK QUIMBY RD,San Jose Police,4/14/2021 22:21,4/14/2021,April,Wednesday,22:21,PM,3150 QUIMBY RD,San Jose,CA,37.324837,-121.78666
DUI,210921088,3100 BLK REMINGTON WY,San Jose Police,4/3/2021 1:06,4/3/2021,April,Saturday, 1:06,AM,3150 REMINGTON WY,San Jose,CA,37.32498,-121.787
AUTO THEFT,211050351,2100 BLK SARASOTA WY,San Jose Police,4/15/2021 11:45,4/15/2021,April,Thursday,11:45,AM,2150 SARASOTA WY,San Jose,CA,37.325024,-121.83429
BURGLARY,211070172,1900 BLK TULLY RD,San Jose Police,4/17/2021 7:13,4/17/2021,April,Saturday, 7:13,AM,1950 TULLY RD,San Jose,CA,37.325176,-121.82174
PETTY THEFT,211010644,1900 BLK TULLY RD,San Jose Police,4/11/2021 16:24,4/11/2021,April,Sunday,16:24,PM,1950 TULLY RD,San Jose,CA,37.325176,-121.82174
VANDALISM,210929501,1900 BLK TULLY RD,San Jose Police,4/2/2021 14:05,4/2/2021,April,Friday,14:05,PM,1950 TULLY RD,San Jose,CA,37.325176,-121.82174
